17.85,0.28,1
14.70,0.28,1
15.04,0.26,1
14.26,0.30,1
18.00,0.28,1
21.06,0.68,1
15.64,0.42,1
17.00,0.30,1
12.76,0.28,1
15.19,0.15,1
19.98,0.30,1
16.32,0.32,1
14.40,0.14,1
12.90,0.11,1
23.20,0.24,1
25.08,0.60,1
21.06,0.52,1
17.85,0.42,1
21.66,0.51,1
19.38,0.45,1
18.36,0.34,1
18.87,0.60,1
16.56,0.20,1
16.83,0.85,1
16.32,0.38,1
15.00,0.32,1
17.00,0.64,1
18.20,0.30,1
17.68,0.28,1
15.04,0.32,1
14.88,0.32,1
18.36,0.60,1
21.32,0.15,1
23.10,0.28,1
15.19,0.15,1
16.00,0.24,1
19.25,0.26,1
15.19,0.15,1
13.20,0.26,1
17.34,0.30,1
17.50,0.39,1
10.35,0.39,1
14.08,0.26,1
17.50,0.96,1
19.38,0.76,1
14.40,0.42,1
19.38,0.32,1
14.72,0.28,1
19.61,0.30,1
16.50,0.28,1
22.40,6.58,2
20.48,6.75,2
21.39,7.35,2
12.65,5.20,2
18.20,6.90,2
15.96,5.85,2
20.79,7.52,2
11.76,3.30,2
19.14,5.98,2
14.04,5.46,2
10.00,3.50,2
17.70,6.30,2
13.20,4.00,2
17.69,6.58,2
16.24,4.68,2
20.77,6.16,2
16.80,6.75,2
15.66,4.10,2
13.64,6.75,2
14.00,4.29,2
18.88,8.64,2
17.08,5.20,2
15.75,7.35,2
17.08,5.64,2
18.56,5.59,2
19.80,6.16,2
19.04,6.72,2
20.10,8.50,2
17.40,6.75,2
14.82,3.50,2
13.20,4.18,2
13.20,3.70,2
15.66,4.68,2
16.20,8.16,2
16.20,6.75,2
20.40,7.20,2
20.77,7.05,2
14.49,5.72,2
16.80,5.33,2
13.75,5.20,2
14.30,5.28,2
18.30,6.44,2
15.08,4.80,2
11.50,3.30,2
15.12,5.46,2
17.10,5.04,2
16.53,5.46,2
17.98,5.59,2
12.75,3.30,2
15.96,5.33,2
20.79,15.00,3
15.66,9.69,3
21.30,12.39,3
18.27,10.08,3
19.50,12.76,3
22.80,13.86,3
12.25,7.65,3
21.17,11.34,3
16.75,10.44,3
25.92,15.25,3
20.80,10.20,3
17.28,10.07,3
20.40,11.55,3
14.25,10.00,3
16.24,12.24,3
20.48,12.19,3
19.50,9.90,3
29.26,14.74,3
20.02,15.87,3
13.20,7.50,3
22.08,13.11,3
15.68,9.80,3
21.56,13.40,3
17.01,8.82,3
22.11,11.97,3
23.04,10.80,3
17.36,8.64,3
18.30,8.82,3
17.92,11.76,3
21.60,9.28,3
20.72,11.59,3
30.02,12.80,3
17.92,12.32,3
17.64,7.65,3
15.86,7.84,3
23.10,14.03,3
21.42,13.44,3
19.84,9.90,3
18.00,8.64,3
21.39,11.34,3
20.77,13.44,3
21.39,11.73,3
15.66,9.69,3
21.76,13.57,3
22.11,14.25,3
20.10,11.96,3
15.75,9.50,3
19.50,10.40,3
21.08,12.42,3
20.08,11.42,3
