147.03,199.08,107.91,81.39,83.93,2500.00
137.26,194.74,105.66,75.62,77.65,1547.50
132.11,191.31,103.13,78.47,81.01,2150.00
135.62,192.85,104.63,77.42,79.15,1623.10
138.49,195.85,106.11,76.94,78.37,1091.88
133.91,192.51,104.01,79.44,82.73,2111.56
136.86,193.32,105.49,79.18,79.96,1785.34
139.29,196.43,107.24,78.33,79.37,1318.16
134.35,193.45,105.26,80.58,83.56,2023.84
137.47,194.59,106.50,80.18,81.46,1559.90
140.73,197.74,108.39,78.89,80.45,1058.29
135.52,195.04,106.56,82,84.9,2023.29
138.42,195.81,107.33,80.64,82.54,1567.12
142.01,198.67,108.93,80.18,81.69,1254.18
136.85,195.85,107.32,83.21,85.21,2226.94
139.45,196.42,108.24,81.44,83.11,1805.74
142.32,199.38,110.11,80.55,82.02,1524.05
137.33,196.29,108.01,83.77,86.02,2122.70
140.45,197.43,109.48,83.19,84.01,1554.00
143.85,201.07,111.58,81.89,83.03,1473.28
138.58,197.74,109.12,85.12,87.37,2094.96
141.19,198.37,110.85,83.79,85.39,1885.12
144.11,201.25,112.75,83.15,84.83,1378.07
139.57,198.74,110.15,85.48,88.18,2169.52
142.7,200.06,111.85,84.84,86.21,1551.96
145.36,202.29,113.05,83.87,85.23,1312.80
140.2,199.99,110.95,87.05,89.84,2173.30
143.1,200.85,112.22,86.33,87.28,1739.67
146.96,203.22,114.06,85.11,86.81,1736.77
141.63,200.15,112.10,87.45,90.91,2181.88
